Area SRv6:
IS-IS Level-1 link-state database:
LSP ID                  PduLen  SeqNumber   Chksum  Holdtime  ATT/P/OL
r10n1.00-00               198   0x00000013  0x67e0     791    0/0/0
r10n2.00-00               198   0x00000013  0xa490     775    0/0/0
r10n3.00-00               198   0x00000013  0xea40     860    0/0/0
r10n4.00-00               198   0x00000013  0x0414     835    0/0/0
r10n5.00-00               198   0x00000013  0x1de7     844    0/0/0
r10n6.00-00               198   0x00000013  0x6397     822    0/0/0
r10n7.00-00               198   0x00000012  0xb52d     755    0/0/0
r10n8.00-00               198   0x00000013  0x31a0     820    0/0/0
r10n9.00-00               198   0x00000013  0x5988     939    0/0/0
r11n0.00-00               198   0x00000013  0x71af     870    0/0/0
r11n1.00-00               198   0x00000013  0xf328     697    0/0/0
r11n2.00-00               198   0x00000012  0x3cd6     810    0/0/0
r11n3.00-00               198   0x00000013  0xee0d     918    0/0/0
r11n4.00-00               198   0x00000012  0x37bb     732    0/0/0
r11n5.00-00               198   0x00000013  0x4e90     795    0/0/0
r11n6.00-00               198   0x00000012  0xcd02     817    0/0/0
r11n7.00-00               198   0x00000013  0x4975     789    0/0/0
r11n8.00-00               198   0x00000012  0x9616     927    0/0/0
r11n9.00-00               198   0x00000013  0xc1f3     858    0/0/0
r12n0.00-00               198   0x00000013  0x8ec3     807    0/0/0
r12n1.00-00               198   0x00000013  0x3e18     792    0/0/0
r12n2.00-00               198   0x00000013  0x97ae     756    0/0/0
r12n3.00-00               198   0x00000013  0x6bca     792    0/0/0
r12n4.00-00               198   0x00000013  0xb66f     842    0/0/0
r12n5.00-00               198   0x00000013  0x66af     805    0/0/0
r12n6.00-00               198   0x00000013  0xb154     927    0/0/0
r12n7.00-00               198   0x00000013  0xca28     796    0/0/0
r12n8.00-00               198   0x00000013  0x43a5     794    0/0/0
r12n9.00-00               198   0x00000013  0x43a6     787    0/0/0
r13n0.00-00               198   0x00000013  0x5bcd     784    0/0/0
r13n1.00-00               198   0x00000012  0x0d21     883    0/0/0
r13n2.00-00               198   0x00000013  0x8894     861    0/0/0
r13n3.00-00               198   0x00000013  0xd336     806    0/0/0
r13n4.00-00               198   0x00000012  0x1ce4     828    0/0/0
r13n5.00-00               198   0x00000012  0x03ea     828    0/0/0
r13n6.00-00               198   0x00000013  0x1abf     713    0/0/0
r13n7.00-00               198   0x00000013  0x9732     804    0/0/0
r13n8.00-00               198   0x00000013  0x744e     829    0/0/0
r13n9.00-00               198   0x00000012  0x12af     750    0/0/0
r14n0.00-00          *    187   0x00000013  0x977f     803    1/0/0
r14n1.00-00               173   0x00000013  0x79a7     971    0/0/0
r14n2.00-00               173   0x00000013  0x5faa     869    0/0/0
r14n3.00-00               173   0x00000013  0x728f     808    0/0/0
r14n4.00-00               173   0x00000013  0x37b9     954    0/0/0
r14n5.00-00               173   0x00000013  0xfbe3     745    0/0/0
r14n6.00-00               173   0x00000013  0x4196     850    0/0/0
r14n7.00-00               173   0x00000012  0x7267     894    0/0/0
r14n8.00-00               173   0x00000013  0x7744     867    0/0/0
r14n9.00-00               173   0x00000013  0x8b30     781    0/0/0
    150 LSPs

IS-IS Level-2 link-state database:
LSP ID                  PduLen  SeqNumber   Chksum  Holdtime  ATT/P/OL
r14n0.00-00          *    165   0x00000013  0x1657     848    0/0/0
r15n0.00-00               176   0x00000012  0xbe6b     817    0/0/0
r16n0.00-00               148   0x00000011  0xebe9     726    0/0/0
r17n0.00-00               148   0x00000011  0xc6e9     767    0/0/0
r18n0.00-00               148   0x00000010  0x7f0d     830    0/0/0
r19n0.00-00               148   0x00000011  0x0261     835    0/0/0
r20n0.00-00               148   0x00000011  0x98b1     791    0/0/0
r21n0.00-00               148   0x00000011  0x73b1     820    0/0/0
r22n0.00-00               148   0x00000011  0x59a0     830    0/0/0
r23n0.00-00               148   0x00000011  0x29b1     832    0/0/0
r24n0.00-00               148   0x00000010  0x9758     832    0/0/0
r25n0.00-00               148   0x00000010  0x6769     842    0/0/0
r26n0.00-00               148   0x00000011  0x4b59     849    0/0/0
r27n0.00-00               148   0x00000011  0xabd0     745    0/0/0
r28n0.00-00               148   0x00000011  0x62f4     815    0/0/0
r29n0.00-00               176   0x00000013  0x50f3     876    0/0/0
r30n0.00-00               176   0x00000012  0x0a1f     889    0/0/0
r31n0.00-00               148   0x00000011  0xb83a     841    0/0/0
r32n0.00-00               148   0x00000011  0xb716     847    0/0/0
r33n0.00-00               148   0x00000011  0x9216     856    0/0/0
r34n0.00-00               148   0x00000011  0x493a     970    0/0/0
r35n0.00-00               148   0x00000011  0x4816     879    0/0/0
r36n0.00-00               148   0x00000011  0x90e1     819    0/0/0
r37n0.00-00               148   0x00000010  0x91bc     755    0/0/0
r38n0.00-00               148   0x00000010  0xcd58     890    0/0/0
r39n0.00-00               148   0x00000010  0x47bc    1080    0/0/0
r40n0.00-00               148   0x00000011  0xdb0e     872    0/0/0
r41n0.00-00               148   0x00000010  0x3e84     958    0/0/0
r42n0.00-00               148   0x00000011  0x1785     961    0/0/0
r43n0.00-00               148   0x00000010  0xf384     868    0/0/0
r44n0.00-00               176   0x00000012  0x231e     855    0/0/0
r45n0.00-00               165   0x00000012  0x4b11     997    0/0/0
    32 LSPs

