Area SRv6:
IS-IS Level-1 link-state database:
LSP ID                  PduLen  SeqNumber   Chksum  Holdtime  ATT/P/OL
r0n0.00-00                172   0x00000011  0x9750    1043    0/0/0
r0n1.00-00                172   0x00000011  0xa938    1119    0/0/0
r0n2.00-00                172   0x00000010  0xa259    1141    0/0/0
r0n3.00-00                172   0x00000011  0xc725    1112    0/0/0
r0n4.00-00                172   0x00000010  0xa8f1    1044    0/0/0
r0n5.00-00                172   0x00000010  0xe1fb    1137    0/0/0
r0n6.00-00                172   0x00000011  0x128c    1124    0/0/0
r0n7.00-00                172   0x00000010  0x664f    1093    0/0/0
r0n8.00-00                172   0x00000010  0xd8a1     303    0/0/0
r0n9.00-00                172   0x00000011  0x5473    1148    0/0/0
r1n0.00-00                197   0x00000011  0xdd12    1131    0/0/0
r1n1.00-00                197   0x00000011  0x6198    1110    0/0/0
r1n2.00-00                197   0x00000010  0xc2fa     362    0/0/0
r1n3.00-00                197   0x00000010  0x9d22     340    0/0/0
r1n4.00-00                197   0x00000011  0x9dfe    1091    0/0/0
r1n5.00-00                197   0x00000011  0xe4cb    1109    0/0/0
r1n6.00-00                197   0x00000010  0xc1f1     353    0/0/0
r1n7.00-00                197   0x0000000f  0x2d68     323    0/0/0
r1n8.00-00                197   0x00000011  0x781a    1041    0/0/0
r1n9.00-00                197   0x00000010  0x5c08    1123    0/0/0
r2n0.00-00                197   0x00000010  0xb50c     348    0/0/0
r2n1.00-00                197   0x00000011  0xa339    1126    0/0/0
r2n2.00-00                197   0x00000010  0x417d     318    0/0/0
r2n3.00-00                197   0x00000011  0xa7f0    1027    0/0/0
r2n4.00-00                197   0x00000010  0xb5df    1062    0/0/0
r2n5.00-00                197   0x00000010  0x5020    1119    0/0/0
r2n6.00-00                197   0x0000000f  0xc0a0     335    0/0/0
r2n7.00-00                197   0x00000011  0x61f6    1084    0/0/0
r2n8.00-00                197   0x00000010  0x0e59    1141    0/0/0
r2n9.00-00                197   0x00000011  0x4936    1143    0/0/0
r3n0.00-00                197   0x00000011  0x039a    1043    0/0/0
r3n1.00-00                197   0x00000011  0xe4ad    1086    0/0/0
r3n2.00-00                197   0x00000011  0x0f6a    1093    0/0/0
r3n3.00-00                197   0x00000011  0xf67e    1176    0/0/0
r3n4.00-00                197   0x00000010  0x5508    1090    0/0/0
r3n5.00-00                197   0x00000010  0xf95c    1069    0/0/0
r3n6.00-00                197   0x00000011  0x3516    1095    0/0/0
r3n7.00-00                197   0x00000011  0x6dc4    1091    0/0/0
r3n8.00-00                197   0x00000011  0xdb46    1079    0/0/0
r3n9.00-00                197   0x00000010  0x79ad    1157    0/0/0
r4n0.00-00                197   0x00000010  0xc89d    1132    0/0/0
r4n1.00-00                197   0x00000011  0x4620    1196    0/0/0
r4n2.00-00                197   0x00000011  0x510b    1191    0/0/0
r4n3.00-00                197   0x00000011  0x58f0    1091    0/0/0
r4n4.00-00                197   0x00000010  0xc871    1085    0/0/0
r4n5.00-00                197   0x00000011  0xcd58    1042    0/0/0
r4n6.00-00                197   0x00000011  0x0b11    1063    0/0/0
r4n7.00-00                197   0x00000011  0xaa5b    1121    0/0/0
r4n8.00-00                197   0x00000011  0x1ae1    1147    0/0/0
r4n9.00-00                197   0x00000011  0x1ce0    1117    0/0/0
r5n0.00-00           *    197   0x00000011  0x6bd0    1124    0/0/0
r5n1.00-00                197   0x00000011  0x2020    1138    0/0/0
r5n2.00-00                197   0x00000011  0x8ea1    1106    0/0/0
r5n3.00-00                197   0x00000011  0xc650    1177    0/0/0
r5n4.00-00                197   0x00000010  0x6da3     326    0/0/0
r5n5.00-00                197   0x00000010  0x0ded    1129    0/0/0
r5n6.00-00                197   0x00000010  0x8079     324    0/0/0
r5n7.00-00                197   0x00000010  0x875f     304    0/0/0
r5n8.00-00                197   0x00000011  0x25aa    1156    0/0/0
r5n9.00-00                197   0x00000011  0xd3ff    1100    0/0/0
r6n0.00-00                197   0x00000010  0x1202     326    0/0/0
r6n1.00-00                197   0x00000011  0x9c71    1135    0/0/0
r6n2.00-00                197   0x00000011  0x9a6f    1186    0/0/0
r6n3.00-00                197   0x00000010  0x0bef     328    0/0/0
r6n4.00-00                197   0x00000011  0x7772    1154    0/0/0
r6n5.00-00                197   0x00000010  0x5c7b     325    0/0/0
r6n6.00-00                197   0x00000011  0xecd9    1123    0/0/0
r6n7.00-00                197   0x00000011  0xf3bf    1064    0/0/0
r6n8.00-00                197   0x00000011  0x3178    1118    0/0/0
r6n9.00-00                197   0x00000011  0x6545    1101    0/0/0
r7n0.00-00                197   0x00000011  0xb435    1139    0/0/0
r7n1.00-00                197   0x00000011  0x6984    1134    0/0/0
r7n2.00-00                197   0x00000011  0xd706    1143    0/0/0
r7n3.00-00                197   0x0000000f  0x4a85     302    0/0/0
r7n4.00-00                197   0x00000010  0xe8d5     325    0/0/0
r7n5.00-00                197   0x00000011  0xbbee    1131    0/0/0
r7n6.00-00                197   0x00000010  0xfaa6    1132    0/0/0
r7n7.00-00                197   0x00000011  0x325b    1178    0/0/0
r7n8.00-00                197   0x00000011  0x0773    1121    0/0/0
r7n9.00-00                197   0x00000011  0x7113    1105    0/0/0
r8n0.00-00                197   0x00000010  0x5b66     306    0/0/0
r8n1.00-00                197   0x00000010  0x417e     307    0/0/0
r8n2.00-00                197   0x00000011  0xe3d3    1112    0/0/0
r8n3.00-00                197   0x00000010  0x5454     311    0/0/0
r8n4.00-00                197   0x00000010  0x5735    1083    0/0/0
r8n5.00-00                197   0x00000011  0x6021    1091    0/0/0
r8n6.00-00                197   0x0000000f  0xd3a5     342    0/0/0
r8n7.00-00                197   0x00000011  0xda92    1115    0/0/0
r8n8.00-00                197   0x0000000f  0xafa3     335    0/0/0
r8n9.00-00                197   0x00000010  0x1844    1087    0/0/0
r9n0.00-00                197   0x00000010  0xff98     327    0/0/0
r9n1.00-00                197   0x00000011  0xe4b6    1164    0/0/0
r9n2.00-00                197   0x00000011  0xb9ce    1064    0/0/0
