Area SRv6:
IS-IS Level-1 link-state database:
LSP ID                  PduLen  SeqNumber   Chksum  Holdtime  ATT/P/OL
r5n1.00-00                197   0x00000006  0x1239     612    0/0/0
r5n2.00-00                197   0x00000006  0xa496     595    0/0/0
r5n3.00-00                197   0x00000006  0x1318     612    0/0/0
r5n4.00-00                197   0x00000006  0x4ccb     625    0/0/0
r5n5.00-00                197   0x00000006  0x887f     643    0/0/0
r5n6.00-00                197   0x00000006  0x2dd3     636    0/0/0
r5n7.00-00                197   0x00000006  0xcc1e     623    0/0/0
r5n8.00-00                197   0x00000006  0x3b9f     641    0/0/0
r5n9.00-00                197   0x00000006  0x6f6c     625    0/0/0
r6n0.00-00                197   0x00000006  0x8d93     630    0/0/0
r6n1.00-00                197   0x00000006  0xa579     632    0/0/0
r6n2.00-00                197   0x00000006  0x8c88     638    0/0/0
r6n3.00-00                197   0x00000005  0x847b     603    0/0/0
r6n4.00-00                197   0x00000006  0x8d67     599    0/0/0
r6n5.00-00                197   0x00000005  0x964c     599    0/0/0
r6n6.00-00                197   0x00000006  0x359c     601    0/0/0
r6n7.00-00                197   0x00000005  0xa51d     641    0/0/0
r6n8.00-00                197   0x00000006  0xdfd1     600    0/0/0
r6n9.00-00                197   0x00000006  0x149e     635    0/0/0
r7n0.00-00                197   0x00000006  0x32c5     649    0/0/0
r7n1.00-00                197   0x00000006  0x7f79     624    0/0/0
r7n2.00-00                197   0x00000005  0xeff9     646    0/0/0
r7n3.00-00                197   0x00000006  0xf4e0     610    0/0/0
r7n4.00-00                197   0x00000006  0x3299     600    0/0/0
r7n5.00-00                197   0x00000006  0x397f     608    0/0/0
r7n6.00-00                197   0x00000006  0xa701     604    0/0/0
r7n7.00-00                197   0x00000006  0x1682     600    0/0/0
r7n8.00-00                197   0x00000006  0x6028     611    0/0/0
r7n9.00-00                197   0x00000006  0x206c     612    0/0/0
r8n0.00-00                197   0x00000006  0x6f5c     595    0/0/0
r8n1.00-00                197   0x00000006  0x24ab     650    0/0/0
r8n2.00-00                197   0x00000006  0x2b91     644    0/0/0
r8n3.00-00                197   0x00000006  0x684a     635    0/0/0
r8n4.00-00                197   0x00000006  0x6f30     651    0/0/0
r8n5.00-00                197   0x00000006  0xddb1     615    0/0/0
r8n6.00-00                197   0x00000006  0x4c33     615    0/0/0
r8n7.00-00                197   0x00000006  0xec82     621    0/0/0
r8n8.00-00                197   0x00000005  0xc399     653    0/0/0
r8n9.00-00                197   0x00000006  0x6303     639    0/0/0
r9n0.00-00                197   0x00000006  0x148e     649    0/0/0
r9n1.00-00                197   0x00000005  0xcadc     609    0/0/0
r9n2.00-00                197   0x00000006  0x4551     643    0/0/0
r9n3.00-00                197   0x00000006  0x3e45     640    0/0/0
r9n4.00-00                197   0x00000006  0x5722     627    0/0/0
r9n5.00-00                197   0x00000006  0x82e3     633    0/0/0
r9n6.00-00                197   0x00000006  0x89c9     631    0/0/0
r9n7.00-00                197   0x00000006  0xf850     622    0/0/0
r9n8.00-00                197   0x00000005  0xcf67     628    0/0/0
r9n9.00-00                197   0x00000006  0x9a99     607    0/0/0
r10n0.00-00               198   0x00000006  0x5af9     653    0/0/0
r10n1.00-00               198   0x00000006  0x3c1c     630    0/0/0
r10n2.00-00               198   0x00000006  0x2322     643    0/0/0
r10n3.00-00               198   0x00000006  0xa094     627    0/0/0
r10n4.00-00               198   0x00000006  0x1e07     640    0/0/0
r10n5.00-00               198   0x00000006  0x37da     653    0/0/0
r10n6.00-00               198   0x00000006  0xaf58     603    0/0/0
r10n7.00-00               198   0x00000006  0x965e     646    0/0/0
r10n8.00-00               198   0x00000006  0x14d0     641    0/0/0
r10n9.00-00               198   0x00000006  0xaa3e     613    0/0/0
r11n0.00-00               198   0x00000006  0x3aea     646    0/0/0
r11n1.00-00               198   0x00000006  0xd658     641    0/0/0
r11n2.00-00               198   0x00000005  0xf12b     633    0/0/0
r11n3.00-00               198   0x00000006  0x6d9e     651    0/0/0
r11n4.00-00               198   0x00000006  0x1dde     644    0/0/0
r11n5.00-00               198   0x00000006  0x04e4     637    0/0/0
r11n6.00-00               198   0x00000006  0x26b8     619    0/0/0
r11n7.00-00               198   0x00000006  0x3197     646    0/0/0
r11n8.00-00               198   0x00000006  0x4579     642    0/0/0
r11n9.00-00               198   0x00000005  0x7947     625    0/0/0
r12n0.00-00               198   0x00000006  0xa8b6     616    0/0/0
r12n1.00-00               198   0x00000006  0x580b     602    0/0/0
r12n2.00-00               198   0x00000006  0xd57d     620    0/0/0
r12n3.00-00               198   0x00000006  0x85bd     609    0/0/0
r12n4.00-00               198   0x00000006  0xd062     631    0/0/0
r12n5.00-00               198   0x00000006  0x2af8     617    0/0/0
r12n6.00-00               198   0x00000006  0xcb47     656    0/0/0
r12n7.00-00               198   0x00000006  0x807c     657    0/0/0
r12n8.00-00               198   0x00000006  0xf8f9     619    0/0/0
r12n9.00-00               198   0x00000006  0x26d6     615    0/0/0
r13n0.00-00               198   0x00000006  0x75c0     635    0/0/0
r13n1.00-00               198   0x00000006  0x2515     650    0/0/0
r13n2.00-00               198   0x00000006  0x3ee8     635    0/0/0
r13n3.00-00               198   0x00000006  0xb666     634    0/0/0
r13n4.00-00               198   0x00000005  0x9f6b     637    0/0/0
r13n5.00-00               198   0x00000006  0x8964     645    0/0/0
r13n6.00-00               198   0x00000006  0xfcef     622    0/0/0
r13n7.00-00               198   0x00000005  0x18c2     641    0/0/0
r13n8.00-00               198   0x00000006  0x9336     645    0/0/0
r13n9.00-00               198   0x00000006  0x577f     637    0/0/0
r14n0.00-00          *    187   0x00000006  0x2106     615    1/0/0
r14n1.00-00               187   0x00000006  0x9794     617    1/0/0
r14n2.00-00               187   0x00000006  0xfd1c     653    1/0/0
r14n3.00-00               187   0x00000005  0xe62b     654    1/0/0
r14n4.00-00               187   0x00000006  0x3abe     636    1/0/0
r14n5.00-00               187   0x00000006  0xee01     632    1/0/0
r14n6.00-00               187   0x00000006  0xa343     646    1/0/0
r14n7.00-00               187   0x00000006  0x2ba3     653    1/0/0
r14n8.00-00               187   0x00000006  0x01be     612    1/0/0
r14n9.00-00               187   0x00000006  0xe3e9     603    1/0/0
    150 LSPs

IS-IS Level-2 link-state database:
LSP ID                  PduLen  SeqNumber   Chksum  Holdtime  ATT/P/OL
r14n0.00-00          *    165   0x00000006  0xb5c7     636    0/0/0
r15n0.00-00               165   0x00000006  0x71e0     646    0/0/0
    2 LSPs

