Area SRv6:
IS-IS Level-1 link-state database:
LSP ID                  PduLen  SeqNumber   Chksum  Holdtime  ATT/P/OL
r0n0.00-00                172   0x00000006  0x5ca8     637    0/0/0
r0n1.00-00                172   0x00000006  0xfbff     632    0/0/0
r0n2.00-00                172   0x00000005  0xd8dc     614    0/0/0
r0n3.00-00                172   0x00000006  0x14d7     621    0/0/0
r0n4.00-00                172   0x00000005  0x5880     625    0/0/0
r0n5.00-00                172   0x00000005  0x2eae     629    0/0/0
r0n6.00-00                172   0x00000006  0x8f4d     624    0/0/0
r0n7.00-00                172   0x00000006  0xe6c0     587    0/0/0
r0n8.00-00                172   0x00000006  0x5913     592    0/0/0
r0n9.00-00                172   0x00000006  0xebad     615    0/0/0
r1n0.00-00                197   0x00000005  0xfa10     591    0/0/0
r1n1.00-00                197   0x00000006  0x7052     603    0/0/0
r1n2.00-00                197   0x00000005  0x7b68     598    0/0/0
r1n3.00-00                197   0x00000006  0x23c7     589    0/0/0
r1n4.00-00                197   0x00000005  0x5e7a     631    0/0/0
r1n5.00-00                197   0x00000006  0x9d39     590    0/0/0
r1n6.00-00                197   0x00000005  0x09af     609    0/0/0
r1n7.00-00                197   0x00000006  0x3041     642    0/0/0
r1n8.00-00                197   0x00000006  0x3c31     614    0/0/0
r1n9.00-00                197   0x00000005  0x1a7f     601    0/0/0
r2n0.00-00                197   0x00000005  0x952e     629    0/0/0
r2n1.00-00                197   0x00000005  0x4f87     626    0/0/0
r2n2.00-00                197   0x00000005  0xf3db     615    0/0/0
r2n3.00-00                197   0x00000006  0x3373     589    0/0/0
r2n4.00-00                197   0x00000005  0x5a25     590    0/0/0
r2n5.00-00                197   0x00000006  0xcbb1     602    0/0/0
r2n6.00-00                197   0x00000005  0xade1     640    0/0/0
r2n7.00-00                197   0x00000006  0x860a     624    0/0/0
r2n8.00-00                197   0x00000006  0xb9ae     630    0/0/0
r2n9.00-00                197   0x00000006  0xc1bc     640    0/0/0
r3n0.00-00                197   0x00000006  0x3d6b     602    0/0/0
r3n1.00-00                197   0x00000006  0x1e79     591    0/0/0
r3n2.00-00                197   0x00000005  0x5e36     645    0/0/0
r3n3.00-00                197   0x00000005  0xfc7b     596    0/0/0
r3n4.00-00                197   0x00000006  0x781c     630    0/0/0
r3n5.00-00                197   0x00000006  0x0e52     614    0/0/0
r3n6.00-00                197   0x00000005  0x1737     624    0/0/0
r3n7.00-00                197   0x00000005  0xb681     635    0/0/0
r3n8.00-00                197   0x00000006  0x59d6     631    0/0/0
r3n9.00-00                197   0x00000006  0xf43f     618    0/0/0
r4n0.00-00                197   0x00000005  0xde92     648    0/0/0
r4n1.00-00                197   0x00000006  0xc3b0     601    0/0/0
r4n2.00-00                197   0x00000006  0x98c8     639    0/0/0
r4n3.00-00                197   0x00000006  0xd581     624    0/0/0
r4n4.00-00                197   0x00000006  0x0e30     607    0/0/0
r4n5.00-00                197   0x00000005  0x4de7     593    0/0/0
r4n6.00-00                197   0x00000006  0x88a1     615    0/0/0
r4n7.00-00                197   0x00000006  0x59b4     619    0/0/0
r4n8.00-00                197   0x00000006  0xfd09     639    0/0/0
r4n9.00-00                197   0x00000005  0xd239     595    0/0/0
r5n0.00-00                197   0x00000006  0x81c5     644    0/0/0
