Area SRv6:
IS-IS Level-1 link-state database:
LSP ID                  PduLen  SeqNumber   Chksum  Holdtime  ATT/P/OL
r9n7.00-00                197   0x00000039  0xf81a    1070    0/0/0
r9n8.00-00                197   0x0000003a  0x659c     940    0/0/0
r9n9.00-00                197   0x00000039  0x34cc    1001    0/0/0
r10n0.00-00               198   0x0000003a  0x8d8f     826    0/0/0
r10n1.00-00               198   0x00000039  0x0820    1148    0/0/0
r10n2.00-00               198   0x00000039  0xbc55     412    0/0/0
r10n3.00-00               198   0x0000003a  0xd32a    1037    0/0/0
r10n4.00-00               198   0x0000003a  0x519c     970    0/0/0
r10n5.00-00               198   0x0000003a  0xfbea     952    0/0/0
r10n6.00-00               198   0x0000003a  0xb020    1111    0/0/0
r10n7.00-00               198   0x0000003a  0x3c84    1067    0/0/0
r10n8.00-00               198   0x0000003a  0x4766     974    0/0/0
r10n9.00-00               198   0x00000039  0xa810     341    0/0/0
r11n0.00-00               198   0x00000039  0x5c98    1035    0/0/0
r11n1.00-00               198   0x00000038  0x0eeb     301    0/0/0
r11n2.00-00               198   0x0000003a  0x8760    1079    0/0/0
r11n3.00-00               198   0x0000003a  0x05d2    1080    0/0/0
r11n4.00-00               198   0x0000003a  0x8245    1093    0/0/0
r11n5.00-00               198   0x00000039  0x02b6     304    0/0/0
r11n6.00-00               198   0x0000003a  0x7d2a    1067    0/0/0
r11n7.00-00               198   0x00000039  0xfc9b     972    0/0/0
r11n8.00-00               198   0x00000039  0x166f     327    0/0/0
r11n9.00-00               198   0x0000003a  0x731b    1048    0/0/0
r12n0.00-00               198   0x0000003a  0xdb4c    1130    0/0/0
r12n1.00-00               198   0x00000039  0x56dc    1093    0/0/0
r12n2.00-00               198   0x0000003a  0x9f7f    1146    0/0/0
r12n3.00-00               198   0x0000003a  0x22e6     788    0/0/0
r12n4.00-00               198   0x00000039  0x9c63    1087    0/0/0
r12n5.00-00               198   0x0000003a  0xae46     862    0/0/0
r12n6.00-00               198   0x0000003a  0x9549     933    0/0/0
r12n7.00-00               198   0x00000039  0x7e4e    1011    0/0/0
r12n8.00-00               198   0x0000003a  0xc2fe    1020    0/0/0
r12n9.00-00               198   0x00000039  0x2e95    1060    0/0/0
r13n0.00-00               198   0x0000003a  0x0df4     883    0/0/0
r13n1.00-00               198   0x00000039  0xbe48    1074    0/0/0
r13n2.00-00               198   0x0000003a  0x3abb    1013    0/0/0
r13n3.00-00               198   0x0000003a  0x538f     988    0/0/0
r13n4.00-00               198   0x0000003a  0x993f    1008    0/0/0
r13n5.00-00               198   0x0000003a  0x8042    1096    0/0/0
r13n6.00-00               198   0x0000003a  0x9424    1065    0/0/0
r13n7.00-00               198   0x0000003a  0xadf7    1128    0/0/0
r13n8.00-00               198   0x0000003a  0x2b6a    1059    0/0/0
r13n9.00-00               198   0x0000003a  0xc1d7    1044    0/0/0
r14n0.00-00          *    187   0x0000003a  0xb83a    1024    1/0/0
r14n1.00-00               173   0x0000003a  0xbb3b     947    0/0/0
r14n2.00-00               173   0x00000039  0x24c5    1069    0/0/0
r14n3.00-00               173   0x0000003a  0x24b6    1194    0/0/0
r14n4.00-00               173   0x0000003a  0x5874     992    0/0/0
r14n5.00-00               173   0x0000003a  0x8c32    1106    0/0/0
r14n6.00-00               173   0x0000003a  0xc0ef    1155    0/0/0
r14n7.00-00               173   0x0000003a  0x1686     881    0/0/0
r14n8.00-00               173   0x00000039  0x9afd     363    0/0/0
r14n9.00-00               173   0x0000003a  0x5449     884    0/0/0
    150 LSPs

IS-IS Level-2 link-state database:
LSP ID                  PduLen  SeqNumber   Chksum  Holdtime  ATT/P/OL
r14n0.00-00          *    349   0x0000003a  0x726c     976    0/0/0
r15n0.00-00               360   0x00000039  0x406d     382    0/0/0
r16n0.00-00               148   0x00000038  0x2388    1009    0/0/0
r17n0.00-00               148   0x00000037  0xff87    1127    0/0/0
r18n0.00-00               148   0x00000037  0x3134     392    0/0/0
r19n0.00-00               148   0x00000038  0x2e11    1028    0/0/0
r20n0.00-00               148   0x00000037  0x4cd7    1120    0/0/0
r21n0.00-00               148   0x00000038  0xaa50    1143    0/0/0
r22n0.00-00               148   0x00000038  0xdbfc    1076    0/0/0
r23n0.00-00               148   0x00000037  0xdcd7    1050    0/0/0
r24n0.00-00               148   0x00000037  0xcef6     335    0/0/0
r25n0.00-00               148   0x00000038  0x911a     993    0/0/0
r26n0.00-00               148   0x00000038  0x8de6    1022    0/0/0
r27n0.00-00               148   0x00000038  0xe26f    1169    0/0/0
r28n0.00-00               148   0x00000037  0x2f08     979    0/0/0
r29n0.00-00               360   0x00000039  0x389f     307    0/0/0
r30n0.00-00               360   0x0000003a  0x06c9     991    0/0/0
r31n0.00-00               148   0x00000038  0x09c5    1116    0/0/0
r32n0.00-00               148   0x00000037  0xf0b3    1089    0/0/0
r33n0.00-00               148   0x00000037  0x463c     406    0/0/0
r34n0.00-00               148   0x00000037  0x77e8    1125    0/0/0
r35n0.00-00               148   0x00000038  0x7fb4    1088    0/0/0
r36n0.00-00               148   0x00000038  0x66e4    1108    0/0/0
r37n0.00-00               148   0x00000037  0xa47f     399    0/0/0
r38n0.00-00               148   0x00000038  0x1ce4    1105    0/0/0
r39n0.00-00               148   0x00000037  0xf8e3     877    0/0/0
r40n0.00-00               148   0x00000037  0xa512     354    0/0/0
r41n0.00-00               148   0x00000037  0xd6be     309    0/0/0
r42n0.00-00               148   0x00000037  0xd59a    1042    0/0/0
r43n0.00-00               148   0x00000037  0x2034     494    0/0/0
r44n0.00-00               360   0x00000039  0x9061     410    0/0/0
r45n0.00-00               349   0x00000039  0x2008     613    0/0/0
    32 LSPs

