Codes: K - kernel route, C - connected, L - local, S - static,
       R - RIPng, O - OSPFv3, I - IS-IS, B - BGP, N - NHRP,
       T - Table, v - VNC, V - VNC-Direct, A - Babel, F - PBR,
       f - OpenFabric, t - Table-Direct,
       > - selected route, * - FIB route, q - queued, r - rejected, b - backup
       t - trapped, o - offload failure

IPv6 unicast VRF default:
I>* fc00:1d:9::/64 [115/20] via fe80::7454:daff:fede:b3d9, r30n0-r29n0, weight 1, 12:22:09
S>* fc00:1e::/43 [1/0] unreachable (blackhole), weight 1, 12:26:15
L * fc00:1e::1/128 is directly connected, lo, weight 1, 12:26:16
C>* fc00:1e::1/128 is directly connected, lo, weight 1, 12:26:16
C>* fc00:1e:0:1::/64 is directly connected, r30n0-r30n1, weight 1, 12:23:50
L>* fc00:1e:0:1::1/128 is directly connected, r30n0-r30n1, weight 1, 12:23:50
I>* fc00:1e:1::1/128 [115/20] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:23:20
I>* fc00:1e:1:2::/64 [115/20] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:23:20
I>* fc00:1e:2::1/128 [115/30] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:23:20
I>* fc00:1e:2:3::/64 [115/30] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:23:20
I>* fc00:1e:3::1/128 [115/40] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:23:20
I>* fc00:1e:3:4::/64 [115/40] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:23:20
I>* fc00:1e:4::1/128 [115/50] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:23:20
I>* fc00:1e:4:5::/64 [115/50] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:23:20
I>* fc00:1e:5::1/128 [115/60] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:23:20
  *                           via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:23:20
I>* fc00:1e:5:6::/64 [115/50] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:23:20
I>* fc00:1e:6::1/128 [115/50] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:23:20
I>* fc00:1e:6:7::/64 [115/40] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:23:20
I>* fc00:1e:7::1/128 [115/40] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:23:20
I>* fc00:1e:7:8::/64 [115/30] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:23:20
I>* fc00:1e:8::1/128 [115/30] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:23:20
I>* fc00:1e:8:9::/64 [115/20] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:23:20
C>* fc00:1e:9::/64 is directly connected, r30n0-r30n9, weight 1, 12:23:49
I>* fc00:1e:9::1/128 [115/20] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:23:20
L>* fc00:1e:9::2/128 is directly connected, r30n0-r30n9, weight 1, 12:23:49
S>* fc00:1f::/43 [1/0] unreachable (blackhole), weight 1, 12:26:15
I>* fc00:1f::1/128 [115/20] via fe80::6454:8fff:fe9c:6ce7, r30n0-r31n0, weight 1, 12:22:09
I>* fc00:1f:0:1::/64 [115/30] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:04
I>* fc00:1f:1::1/128 [115/30] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:04
I>* fc00:1f:1:2::/64 [115/30] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:04
I>* fc00:1f:2::1/128 [115/40] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:05
I>* fc00:1f:2:3::/64 [115/40] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:05
I>* fc00:1f:3::1/128 [115/50] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:05
I>* fc00:1f:3:4::/64 [115/50] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:05
I>* fc00:1f:4::1/128 [115/60] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:05
I>* fc00:1f:4:5::/64 [115/60] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:05
I>* fc00:1f:5::1/128 [115/70] via fe80::b818:b5ff:fe98:59f0, r30n0-r30n1, weight 1, 12:22:06
  *                           via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:06
I>* fc00:1f:5:6::/64 [115/60] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
I>* fc00:1f:6::1/128 [115/60] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
I>* fc00:1f:6:7::/64 [115/50] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
I>* fc00:1f:7::1/128 [115/50] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
I>* fc00:1f:7:8::/64 [115/40] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
I>* fc00:1f:8::1/128 [115/40] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:05
I>* fc00:1f:8:9::/64 [115/30] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:00
I>* fc00:1f:9::/64 [115/30] via fe80::f844:98ff:febc:353a, r30n0-r30n9, weight 1, 12:22:00
