Area SRv6:
IS-IS Level-2 link-state database:
LSP ID                  PduLen  SeqNumber   Chksum  Holdtime  ATT/P/OL
r14n0.00-00               165   0x00000012  0x1856     916    0/0/0
r15n0.00-00               176   0x00000011  0xc06a     902    0/0/0
r16n0.00-00          *    148   0x00000010  0xede8     800    0/0/0
r17n0.00-00               148   0x00000010  0xc8e8     879    0/0/0
r18n0.00-00               148   0x0000000f  0x810c     933    0/0/0
r19n0.00-00               148   0x00000010  0x0460     933    0/0/0
r20n0.00-00               148   0x00000010  0x9ab0     896    0/0/0
r21n0.00-00               148   0x00000010  0x75b0     882    0/0/0
r22n0.00-00               148   0x00000010  0x5b9f     923    0/0/0
r23n0.00-00               148   0x00000010  0x2bb0     919    0/0/0
r24n0.00-00               148   0x0000000f  0x9957     936    0/0/0
r25n0.00-00               148   0x0000000f  0x6968     899    0/0/0
r26n0.00-00               148   0x00000010  0x4d58     910    0/0/0
r27n0.00-00               148   0x00000010  0xadcf     866    0/0/0
r28n0.00-00               148   0x00000010  0x64f3     955    0/0/0
r29n0.00-00               176   0x00000012  0x52f2     955    0/0/0
r30n0.00-00               176   0x00000011  0x0c1e     983    0/0/0
r31n0.00-00               148   0x00000010  0xba39     937    0/0/0
r32n0.00-00               148   0x00000010  0xb915     949    0/0/0
r33n0.00-00               148   0x00000010  0x9415     939    0/0/0
r34n0.00-00               148   0x00000010  0x4b39    1030    0/0/0
r35n0.00-00               148   0x00000010  0x4a15     966    0/0/0
r36n0.00-00               148   0x00000010  0x92e0     901    0/0/0
r37n0.00-00               148   0x0000000f  0x93bb     873    0/0/0
r38n0.00-00               148   0x0000000f  0xcf57     989    0/0/0
r39n0.00-00               148   0x0000000f  0x49bb    1166    0/0/0
r40n0.00-00               148   0x00000010  0xdd0d     964    0/0/0
r41n0.00-00               148   0x0000000f  0x4083    1061    0/0/0
r42n0.00-00               148   0x00000010  0x1984    1034    0/0/0
r43n0.00-00               148   0x0000000f  0xf583     949    0/0/0
r44n0.00-00               176   0x00000011  0x251d     971    0/0/0
r45n0.00-00               165   0x00000011  0x4d10    1054    0/0/0
    32 LSPs

